nutzungsart;vermarktungsart;objektart;neubau;plz;ort;strasse;wohnflaeche;grundstuecksflaeche;anzahl_zimmer;anzahl_schlafzimmer;anzahl_badezimmer;Ursprünglicher Angebotspreis;Angebotspreis;Realer Kaufpreis;baujahr;zustand;etagen_zahl;balkon;terrasse;unterkellert;energieausweisbaujahr;auftragvon;auftragbis;auftragsart;verkauft_am
wohnen;kauf;haus;0;97292;Holzkirchen;;137.0;600.0;4.0;0;0;0;279899.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97241;Bergtheim;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;122.0;650.0;4.0;0;0;0;245000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;100.0;650.0;3.0;0;0;0;213000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;134.0;650.0;5.0;0;0;0;281000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;150.0;650.0;5.0;0;0;0;274000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;110.0;650.0;4.0;0;0;0;221000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97283;Riedenheim;;131.0;650.0;5.0;0;0;0;249000.0;;2021;Projektiert;0;0;0;NEIN;2021;;;;
wohnen;kauf;haus;0;97348;Willanzheim;;134.0;593.0;4.0;0;0;0;281000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97280;Remlingen;;430.0;1000.0;17.0;1;7;0;649000.0;;1952;;3;1;0;JA;1990;;;;
wohnen;kauf;haus;0;97225;Zellingen;;140.0;0;5.0;0;0;0;258000.0;;2020;Projektiert;2;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97225;Zellingen;;134.0;0;4.0;0;0;0;228000.0;;2020;Projektiert;0;0;0;NEIN;2020;;;;
