GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
1054138;Tönning;185;51;6;5;20;34;78
1054140;Tümlauer Koog;2;0;.;.;0;0;.
1054141;Uelvesbüll;3;.;.;.;0;1;1
1054142;Uphusum;9;0;1;0;1;5;3
1054143;Utersum;5;1;1;0;.;1;0
1054144;Viöl;39;3;3;1;5;9;16
1054145;Vollerwiek;6;0;0;0;.;1;3
1054146;Vollstedt;5;0;0;0;1;0;1
1054148;Welt;5;1;.;.;0;2;2
1054149;Wenningstedt-Braderup (Sylt);32;6;0;0;3;10;4
1054150;Westerhever;2;.;.;.;.;0;1
1054151;Westerland;-;-;.;.;-;-;.
1054152;Wester-Ohrstedt;31;3;1;0;3;8;14
1054154;Westre;7;1;.;.;1;0;2
1054156;Winnert;22;0;0;1;2;5;11
1054157;Wisch;1;.;.;.;.;.;1
1054158;Witsum;0;.;.;.;.;.;.
1054159;Wittbek;14;.;0;0;1;3;6
1054160;Wittdün auf Amrum;25;6;2;0;1;8;6
1054161;Witzwort;25;4;1;0;1;5;12
1054162;Wobbenbüll;3;0;0;0;.;1;0
1054163;Wrixum;12;.;1;0;1;3;1
1054164;Wyk auf Föhr;105;31;5;1;10;35;29
1054165;Galmsbüll;11;1;0;0;1;3;5
1054166;Emmelsbüll-Horsbüll;22;0;0;1;2;10;8
1054167;Enge-Sande;21;1;1;1;2;6;6
1054168;Sylt;292;73;9;2;18;78;34
1055001;Ahrensbök;241;34;15;9;24;63;87
1055002;Altenkrempe;14;0;1;0;2;4;5
1055004;Bad Schwartau;483;83;30;13;48;119;160
1055006;Beschendorf;9;0;1;0;1;1;1
1055007;Bosau;74;2;4;1;5;23;31
1055010;Dahme;37;7;3;1;3;13;7
1055011;Damlos;9;0;0;0;.;3;1
1055012;Eutin;695;123;46;21;79;179;316
1055014;Göhl;23;2;1;0;1;5;6
1055015;Gremersdorf;32;1;2;0;3;12;11
1055016;Grömitz;216;48;20;2;17;81;44
1055017;Großenbrode;40;4;5;1;3;11;9
1055018;Grube;34;2;3;0;3;9;9
1055020;Harmsdorf;9;0;0;0;1;4;2
1055021;Heiligenhafen;277;53;21;3;24;74;83
1055022;Heringsdorf (Holstein);32;7;2;1;2;13;11
1055023;Kabelhorst;8;.;1;0;1;1;2
1055024;Kasseedorf;32;1;5;1;4;8;6
1055025;Kellenhusen (Ostsee);37;7;2;0;2;9;5
1055027;Lensahn;146;27;8;6;17;29;36
1055028;Malente;411;64;27;9;43;108;188
1055029;Manhagen;7;1;.;.;1;2;0
1055031;Neukirchen;29;3;2;1;2;11;9
1055032;Neustadt in Holstein;376;81;23;9;44;99;85
1055033;Oldenburg in Holstein;285;50;20;10;41;63;86
1055035;Ratekau;298;51;21;7;29;75;71
1055036;Riepsdorf;21;0;0;0;2;7;6
1055037;Schashagen;42;2;3;1;4;12;10
1055038;Schönwalde am Bungsberg;40;5;4;0;3;13;11
1055039;Sierksdorf;34;4;1;0;1;15;7
1055040;Stockelsdorf;275;47;15;7;26;72;66
1055041;Süsel;103;9;8;2;7;38;36
1055042;Timmendorfer Strand;204;44;8;1;16;56;50
1055043;Wangels;41;1;2;0;3;13;12
1055044;Scharbeutz;255;34;16;4;19;88;57
1055046;Fehmarn;392;70;26;8;37;103;84
1056001;Appen;80;10;6;2;7;25;24
1056002;Barmstedt;255;69;17;4;23;59;56
1056003;Bevern;8;0;1;0;0;2;2
1056004;Bilsen;8;0;.;.;1;3;2
1056005;Bönningstedt;59;14;5;1;4;13;9
1056006;Bokel;13;.;0;0;2;4;6
1056008;Bokholt-Hanredder;13;1;0;0;1;5;2
1056009;Borstel-Hohenraden;33;7;3;0;3;10;8
1056010;Brande-Hörnerkirchen;36;4;0;1;5;7;11
1056011;Bullenkuhlen;8;0;0;0;0;4;4
1056013;Ellerbek;64;17;2;2;5;19;14
1056014;Ellerhoop;23;3;1;1;3;6;5
1056015;Elmshorn;2026;736;113;35;194;387;604
1056016;Groß Nordende;10;3;1;0;2;1;2
1056017;Groß Offenseth-Aspern;7;2;0;0;1;2;1
1056018;Halstenbek;302;78;15;5;23;74;86
1056019;Haselau;8;0;0;0;0;3;2
1056020;Haseldorf;21;4;0;0;2;6;2
1056021;Hasloh;52;12;3;1;6;11;11
1056022;Heede;12;1;2;0;1;5;3
1056023;Heidgraben;34;6;0;1;3;13;11
1056024;Heist;37;5;1;0;5;11;8
1056025;Helgoland;48;11;4;0;3;14;4
1056026;Hemdingen;23;4;1;1;2;6;4
1056027;Hetlingen;20;2;2;0;1;5;4
1056028;Holm;41;5;2;0;2;12;8
1056029;Klein Nordende;42;4;2;1;3;14;10
1056030;Klein Offenseth-Sparrieshoop;44;6;4;0;3;12;13
1056031;Kölln-Reisiek;43;10;3;1;3;13;12
1056032;Kummerfeld;45;17;3;2;5;9;13
1056033;Seester;16;0;2;0;2;7;3
1056034;Langeln;14;4;1;0;1;3;1
1056035;Lutzhorn;13;0;1;0;1;5;2
1056036;Moorrege;68;6;3;1;6;20;16
1056037;Neuendeich;7;0;0;0;0;3;2
1056038;Osterhorn;4;1;.;.;1;2;2
1056039;Pinneberg;1428;549;78;22;116;250;460
1056040;Prisdorf;33;9;2;1;3;10;8
1056041;Quickborn;416;112;26;7;38;104;106
1056042;Raa-Besenbek;12;1;0;1;2;5;0
1056043;Rellingen;231;55;16;4;16;64;61
1056044;Schenefeld, Stadt;400;116;19;7;32;84;114
1056045;Seestermühe;14;3;.;.;1;5;4
1056046;Seeth-Ekholt;16;4;1;0;3;4;6
1056047;Tangstedt;28;1;1;0;1;11;5
1056048;Tornesch;274;65;24;5;30;79;66
1056049;Uetersen;652;224;34;15;69;139;170
1056050;Wedel;883;298;62;18;73;192;186
1056051;Westerhorn;23;1;2;0;3;4;8
1057001;Ascheberg (Holstein);61;4;6;1;7;21;15
1057002;Barmissen;5;0;0;0;.;2;1
1057003;Barsbek;7;1;1;1;2;2;1
1057004;Behrensdorf (Ostsee);8;.;1;0;1;2;1
